행정동,구_x,행정동코드,1인가구,생활인구,동면적,도로율,도로면적,행정동,,,,,
성수동,성동구,11200650,2435,19100,1.97,0.2309,0.454873,숭인동,,,,,
송정동,성동구,11200720,2305,10673,0.75,0.2309,0.173175,시흥동,,,,,
옥수동,성동구,11200645,2391,27136,1.94,0.2309,0.447946,신길동,,,,,
왕십리동,성동구,11200520,2275,14701,0.41,0.2309,0.094669,신내동,,,,,
용답동,성동구,11200790,3111,19296,2.31,0.2309,0.533379,신당동,,,,,
응봉동,성동구,11200580,1053,10736,0.57,0.2309,0.131613,신대방동,,,,,
행당동,성동구,11200560,1930,19405,0.59,0.2309,0.136231,신도림동,,,,,
길음동,성북구,11290660,3387,53571,1.37,0.2359,0.323183,신림동,,,,,
돈암동,성북구,11290580,2573,26298,0.97,0.2359,0.228823,신수동,,,,,
동선동,성북구,11290575,5186,24597,0.73,0.2359,0.172207,신원동,,,,,
보문동,성북구,11290610,3011,15848,0.56,0.2359,0.132104,신정동,,,,,
삼선동,성북구,11290555,4790,25648,0.92,0.2359,0.217028,신천동,,,,,
석관동,성북구,11290810,5492,26794,1.73,0.2359,0.408107,신촌동,,,,,
성북동,성북구,11290525,2945,21015,2.86,0.2359,0.674674,쌍문동,,,,,
안암동,성북구,11290600,5964,22949,1.33,0.2359,0.313747,아현동,,,,,
월곡동,성북구,11290715,2454,24836,0.81,0.2359,0.191079,안암동,,,,,
장위동,성북구,11290760,2487,20724,0.7,0.2359,0.16513,암사동,,,,,
정릉동,성북구,11290620,1819,13843,0.44,0.2359,0.103796,압구정동,,,,,
종암동,성북구,11290705,5568,36442,1.46,0.2359,0.344414,약수동,,,,,
가락동,송파구,11710620,6700,90441,3.43,0.2068,0.709324,양재동,,,,,
거여동,송파구,11710531,3279,31511,1.04,0.2068,0.215072,양평동,,,,,
마천동,송파구,11710540,4699,27304,1.47,0.2068,0.303996,여의동,,,,,
문정동,송파구,11710641,9649,61486,2.76,0.2068,0.570768,역삼동,,,,,
방이동,송파구,11710561,8022,54113,1.3,0.2068,0.26884,역촌동,,,,,
삼전동,송파구,11710610,6327,30645,0.95,0.2068,0.19646,연남동,,,,,
석촌동,송파구,11710600,6716,28987,0.95,0.2068,0.19646,연희동,,,,,
송파동,송파구,11710580,4706,30626,0.79,0.2068,0.163372,염리동,,,,,
신천동,송파구,99999999,1398,60196,5.72,0.2068,1.182896,염창동,,,,,
오금동,송파구,11710570,3077,36364,1.65,0.2068,0.34122,영등포동,,,,,
잠실동,송파구,11710650,6559,34362,0.94,0.2068,0.194392,오금동,,,,,
장지동,송파구,11710646,2747,34212,1.37,0.2068,0.283316,오류동,,,,,
풍납동,송파구,11710510,1869,15392,0.77,0.2068,0.159236,옥수동,,,,,
목동,양천구,11470510,10184,105218,3.54,0.2788,0.986952,왕십리동,,,,,
신월동,양천구,11470560,13708,82193,4.94,0.2788,1.377272,용강동,,,,,
신정동,양천구,11470620,38144,307741,13.21,0.2788,3.342388,용답동,,,,,
당산동,영등포구,11560550,11586,62167,2.3,0.2423,0.55729,용문동,,,,,
대림동,영등포구,11560700,8022,60673,1.99,0.2423,0.482177,용산동,,,,,
도림동,영등포구,11560585,3625,14379,0.89,0.2423,0.215647,용신동,,,,,
문래동,영등포구,11560605,2947,38798,1.49,0.2423,0.361027,우이동,,,,,
신길동,영등포구,11560630,4995,17441,0.66,0.2423,0.159918,우장산동,,,,,
양평동,영등포구,11560610,3721,19063,0.88,0.2423,0.213224,원효로,,,,,
여의도동,영등포구,11560540,2672,93805,8.4,0.2423,2.03532,월계동,,,,,
영등포동,영등포구,11560535,10170,52908,1.26,0.2423,0.305298,월곡동,,,,,
남영동,용산구,11170530,2382,16866,1.19,0.2219,0.264061,은평신사,,,,,
보광동,용산구,11170700,3121,10431,0.71,0.2219,0.157549,을지로동,,,,,
서빙고동,용산구,11170690,,15513,2.8,0.2219,0.62132,응봉동,,,,,
용문동,용산구,11170590,1576,8373,0.28,0.2219,0.062132,응암동,,,,,
용산동,용산구,11170520,1911,12028,1.96,0.2219,0.434924,이문동,,,,,
원효로동,용산구,11170560,2735,20859,0.59,0.2219,0.130921,이촌동,,,,,
이촌동,용산구,11170630,1212,25928,2.86,0.2219,0.634634,이태원동,,,,,
이태원동,용산구,11170650,1479,13442,0.57,0.2219,0.126483,이화동,,,,,
청파동,용산구,11170555,5218,21959,0.9,0.2219,0.19971,일원동,,,,,
한강로동,용산구,11170625,3755,51779,2.9,0.2219,0.64351,자양동,,,,,
한남동,용산구,11170685,4154,31377,3.01,0.2219,0.667919,잠실동,,,,,
효창동,용산구,11170580,1082,9591,0.44,0.2219,0.097636,잠원동,,,,,
후암동,용산구,11170510,2800,13480,0.86,0.2219,0.190834,장안동,,,,,
갈현동,은평구,11380551,6509,46427,1.93,0.2208,0.426144,장위동,,,,,
구산동,은평구,11380560,2785,24661,1.38,0.2208,0.304704,장지동,,,,,
녹번동,은평구,11380510,5033,33717,1.79,0.2208,0.395232,장충동,,,,,
대조동,은평구,11380570,5597,40579,0.85,0.2208,0.18768,전농동,,,,,
불광동,은평구,11380520,9319,50539,4.51,0.2208,0.995808,정릉동,,,,,
수색동,은평구,11380650,963,12325,1.29,0.2208,0.284832,제기동,,,,,
역촌동,은평구,11380625,5473,42058,1.16,0.2208,0.256128,종로동,,,,,
은평신사,은평구,11380631,5323,36529,1.84,0.4416,0.406272,종암동,,,,,
응암동,은평구,11380580,3771,23907,1.2,0.2208,0.26496,중계동,,,,,
증산동,은평구,11380640,1736,14971,0.81,0.2208,0.178848,중곡동,,,,,
진관동,은평구,11380690,4742,62844,11.53,0.2208,2.545824,중림동,,,,,
가회동,종로구,11110600,631,7131,0.54,0.2144,0.115776,중화동,,,,,
교남동,종로구,11110580,1219,7143,0.35,0.2144,0.07504,증산동,,,,,
무악동,종로구,11110570,494,6890,0.36,0.2144,0.077184,진관동,,,,,
부암동,종로구,11110550,1129,14329,2.27,0.2144,0.486688,창동,,,,,
사직동,종로구,11110530,1487,24657,1.23,0.2144,0.263712,창신동,,,,,
삼청동,종로구,11110540,380,5117,1.49,0.2144,0.319456,천연동,,,,,
숭인동,종로구,11110700,3995,20567,0.58,0.2144,0.124352,천호동,,,,,
이화동,종로구,11110640,2094,23777,0.78,0.2144,0.167232,청구동,,,,,
종로동,종로구,11110615,2371,62157,2.35,0.2144,0.50384,청담동,,,,,
창신동,종로구,11110670,1069,8272,0.31,0.2144,0.066464,청량리동,,,,,
청운효자동,종로구,11110515,1378,17143,2.57,0.2144,0.551008,청운효자동,,,,,
평창동,종로구,11110560,1302,17452,8.87,0.2144,1.901728,청파동,,,,,
혜화동,종로구,11110650,4925,29878,1.12,0.2144,0.240128,충현동,,,,,
광희동,중구,11140590,1391,23176,0.74,0.1882,0.139268,평창동,,,,,
다산동,중구,11140625,2466,14575,0.51,0.1882,0.095982,풍납동,,,,,
명동,중구,11140550,581,37115,0.99,0.1882,0.186318,하계동,,,,,
소공동,중구,11140520,435,29429,0.95,0.1882,0.17879,한강로동,,,,,
신당동,중구,11140615,2223,22035,0.55,0.1882,0.10351,한남동,,,,,
약수동,중구,11140635,2054,14531,0.48,0.1882,0.090336,합정동,,,,,
장충동,중구,11140580,1509,12143,1.36,0.1882,0.255952,혜화동,,,,,
중림동,중구,11140680,1627,9451,0.48,0.1882,0.090336,홍은동,,,,,
필동,중구,11140570,1020,11329,1.14,0.1882,0.214548,화곡동,,,,,
황학동,중구,11140670,2963,13221,0.33,0.1882,0.062106,화양동,,,,,
회현동,중구,11140540,867,25595,0.84,0.1882,0.158088,황학동,,,,,
망우동,중랑구,11260655,7429,50655,3.95,0.2601,1.027395,회기동,,,,,
면목동,중랑구,11260565,22193,113863,6.01,0.2601,1.563201,회현동,,,,,
묵동,중랑구,11260620,6790,44265,1.87,0.2601,0.486387,효창동,,,,,
상봉동,중랑구,11260580,7686,43730,1.53,0.2601,0.397953,후암동,,,,,
신내동,중랑구,11260680,2426,34433,2.56,0.2601,0.665856,휘경동,,,,,
중화동,중랑구,11260600,2353,16755,0.64,0.2601,0.166464,흑석동,,,,,
