행정동,구_x,행정동코드,1인가구,생활인구,동면적,도로율,도로면적,사망자수,중상자수,경상자수,교차로,단일
보문동,성북구,11290610,3011.0,15848,0.56,0.2359,0.132104,1,19,6,12,5
삼선동,성북구,11290555,4790.0,25648,0.92,0.2359,0.217028,0,18,2,9,8
석관동,성북구,11290810,5492.0,26794,1.73,0.2359,0.408107,0,25,3,12,11
성북동,성북구,11290525,2945.0,21015,2.86,0.2359,0.674674,0,4,2,2,2
안암동,성북구,11290600,5964.0,22949,1.33,0.2359,0.313747,0,33,0,13,16
월곡동,성북구,11290715,2454.0,24836,0.81,0.2359,0.191079,2,51,3,22,25
장위동,성북구,11290760,2487.0,20724,0.7,0.2359,0.16513,6,37,8,20,17
정릉동,성북구,11290620,1819.0,13843,0.44,0.2359,0.103796,1,44,1,18,24
종암동,성북구,11290705,5568.0,36442,1.46,0.2359,0.344414,0,43,4,20,21
가락동,송파구,11710620,6700.0,90441,3.43,0.2068,0.709324,0,67,4,44,20
거여동,송파구,11710531,3279.0,31511,1.04,0.2068,0.215072,1,18,1,12,7
마천동,송파구,11710540,4699.0,27304,1.47,0.2068,0.303996,0,16,1,6,10
문정동,송파구,11710641,9649.0,61486,2.76,0.2068,0.570768,1,38,9,23,12
방이동,송파구,11710561,8022.0,54113,1.3,0.2068,0.26884,0,50,13,22,26
삼전동,송파구,11710610,6327.0,30645,0.95,0.2068,0.19646,0,21,5,9,11
석촌동,송파구,11710600,6716.0,28987,0.95,0.2068,0.19646,0,28,3,17,9
송파동,송파구,11710580,4706.0,30626,0.79,0.2068,0.163372,0,54,3,35,16
신천동,송파구,99999999,1398.0,60196,5.72,0.2068,1.182896,1,38,10,23,12
오금동,송파구,11710570,3077.0,36364,1.65,0.2068,0.34122,0,38,5,24,11
잠실동,송파구,11710650,6559.0,34362,0.94,0.2068,0.194392,2,77,14,45,30
장지동,송파구,11710646,2747.0,34212,1.37,0.2068,0.283316,1,27,2,16,11
풍납동,송파구,11710510,1869.0,15392,0.77,0.2068,0.159236,0,24,2,15,9
목동,양천구,11470510,10184.0,105218,3.54,0.2788,0.986952,1,55,6,27,25
신월동,양천구,11470560,13708.0,82193,4.94,0.2788,1.377272,2,78,15,40,37
신정동,양천구,11470620,38144.0,307741,13.21,0.2788,3.342388,3,98,15,50,47
당산동,영등포구,11560550,11586.0,62167,2.3,0.2423,0.55729,0,52,6,24,24
대림동,영등포구,11560700,8022.0,60673,1.99,0.2423,0.482177,0,47,3,32,11
도림동,영등포구,11560585,3625.0,14379,0.89,0.2423,0.215647,0,11,3,9,2
문래동,영등포구,11560605,2947.0,38798,1.49,0.2423,0.361027,0,43,7,22,16
신길동,영등포구,11560630,4995.0,17441,0.66,0.2423,0.159918,1,78,15,35,43
양평동,영등포구,11560610,3721.0,19063,0.88,0.2423,0.213224,3,49,7,24,26
여의도동,영등포구,11560540,2672.0,93805,8.4,0.2423,2.03532,1,66,17,39,24
영등포동,영등포구,11560535,10170.0,52908,1.26,0.2423,0.305298,0,74,12,31,39
남영동,용산구,11170530,2382.0,16866,1.19,0.2219,0.264061,0,8,4,4,3
보광동,용산구,11170700,3121.0,10431,0.71,0.2219,0.157549,0,16,1,6,8
서빙고동,용산구,11170690,,15513,2.8,0.2219,0.62132,1,26,5,12,13
용문동,용산구,11170590,1576.0,8373,0.28,0.2219,0.062132,0,5,1,2,2
용산동,용산구,11170520,1911.0,12028,1.96,0.2219,0.434924,0,23,0,7,13
원효로동,용산구,11170560,2735.0,20859,0.59,0.2219,0.130921,0,9,3,6,2
이촌동,용산구,11170630,1212.0,25928,2.86,0.2219,0.634634,0,15,1,7,8
이태원동,용산구,11170650,1479.0,13442,0.57,0.2219,0.126483,0,38,5,12,19
청파동,용산구,11170555,5218.0,21959,0.9,0.2219,0.19971,1,17,2,8,9
한강로동,용산구,11170625,3755.0,51779,2.9,0.2219,0.64351,0,11,0,4,3
한남동,용산구,11170685,4154.0,31377,3.01,0.2219,0.667919,3,41,3,18,23
효창동,용산구,11170580,1082.0,9591,0.44,0.2219,0.097636,0,6,1,4,1
후암동,용산구,11170510,2800.0,13480,0.86,0.2219,0.190834,0,7,1,2,3
갈현동,은평구,11380551,6509.0,46427,1.93,0.2208,0.426144,0,23,5,13,8
구산동,은평구,11380560,2785.0,24661,1.38,0.2208,0.304704,0,14,3,11,1
녹번동,은평구,11380510,5033.0,33717,1.79,0.2208,0.395232,1,27,10,11,12
대조동,은평구,11380570,5597.0,40579,0.85,0.2208,0.18768,1,19,5,11,5
불광동,은평구,11380520,9319.0,50539,4.51,0.2208,0.995808,1,24,18,13,8
수색동,은평구,11380650,963.0,12325,1.29,0.2208,0.284832,0,7,1,4,3
역촌동,은평구,11380625,5473.0,42058,1.16,0.2208,0.256128,0,46,3,26,15
은평신사,은평구,11380631,5323.0,36529,1.84,0.4416,0.406272,0,19,0,9,8
응암동,은평구,11380580,3771.0,23907,1.2,0.2208,0.26496,0,34,5,25,7
증산동,은평구,11380640,1736.0,14971,0.81,0.2208,0.178848,0,8,1,3,5
진관동,은평구,11380690,4742.0,62844,11.53,0.2208,2.545824,4,20,0,12,10
가회동,종로구,11110600,631.0,7131,0.54,0.2144,0.115776,0,3,0,2,1
교남동,종로구,11110580,1219.0,7143,0.35,0.2144,0.07504,1,5,0,1,5
무악동,종로구,11110570,494.0,6890,0.36,0.2144,0.077184,0,1,0,1,0
부암동,종로구,11110550,1129.0,14329,2.27,0.2144,0.486688,0,1,0,0,1
사직동,종로구,11110530,1487.0,24657,1.23,0.2144,0.263712,0,24,3,10,13
삼청동,종로구,11110540,380.0,5117,1.49,0.2144,0.319456,1,4,0,1,3
숭인동,종로구,11110700,3995.0,20567,0.58,0.2144,0.124352,0,20,2,5,13
이화동,종로구,11110640,2094.0,23777,0.78,0.2144,0.167232,0,6,0,2,4
종로동,종로구,11110615,2371.0,62157,2.35,0.2144,0.50384,4,77,11,37,36
창신동,종로구,11110670,1069.0,8272,0.31,0.2144,0.066464,1,17,4,4,14
청운효자동,종로구,11110515,1378.0,17143,2.57,0.2144,0.551008,0,8,1,5,3
평창동,종로구,11110560,1302.0,17452,8.87,0.2144,1.901728,0,21,2,6,12
혜화동,종로구,11110650,4925.0,29878,1.12,0.2144,0.240128,0,9,1,5,4
광희동,중구,11140590,1391.0,23176,0.74,0.1882,0.139268,0,25,2,18,6
다산동,중구,11140625,2466.0,14575,0.51,0.1882,0.095982,0,1,0,0,1
명동,중구,11140550,581.0,37115,0.99,0.1882,0.186318,3,22,5,10,13
소공동,중구,11140520,435.0,29429,0.95,0.1882,0.17879,6,13,2,11,5
신당동,중구,11140615,2223.0,22035,0.55,0.1882,0.10351,0,91,11,45,38
약수동,중구,11140635,2054.0,14531,0.48,0.1882,0.090336,0,2,0,0,2
장충동,중구,11140580,1509.0,12143,1.36,0.1882,0.255952,0,5,0,2,3
중림동,중구,11140680,1627.0,9451,0.48,0.1882,0.090336,0,9,0,4,5
필동,중구,11140570,1020.0,11329,1.14,0.1882,0.214548,0,12,2,2,10
황학동,중구,11140670,2963.0,13221,0.33,0.1882,0.062106,0,17,1,6,8
황학동,중구,11140670,2963.0,13221,0.33,0.1882,0.062106,0,14,0,7,6
회현동,중구,11140540,867.0,25595,0.84,0.1882,0.158088,0,7,3,2,3
망우동,중랑구,11260655,7429.0,50655,3.95,0.2601,1.027395,0,45,9,24,19
면목동,중랑구,11260565,22193.0,113863,6.01,0.2601,1.563201,3,154,26,71,75
묵동,중랑구,11260620,6790.0,44265,1.87,0.2601,0.486387,0,50,8,27,18
