사고일시,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,가해운전자 차종,가해운전자 상해정도,피해운전자 차종,피해운전자 상해정도
2019년 1월 3일 12시,서울특별시 노원구 상계동,사망사고,1,0,1,0,화물,상해없음,보행자,사망
2019년 1월 3일 14시,서울특별시 동대문구 답십리동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 3일 14시,서울특별시 강남구 압구정동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 1월 3일 16시,서울특별시 강서구 방화동,중상사고,0,1,0,0,건설기계,상해없음,이륜,중상
2019년 1월 3일 16시,서울특별시 송파구 석촌동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 3일 16시,서울특별시 구로구 개봉동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 3일 17시,서울특별시 중구 충무로2가,사망사고,1,0,0,0,승합,상해없음,보행자,사망
2019년 1월 3일 18시,서울특별시 중랑구 묵동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 3일 19시,서울특별시 구로구 구로동,중상사고,0,1,1,0,승용,경상,,
2019년 1월 3일 20시,서울특별시 마포구 용강동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
2019년 1월 3일 20시,서울특별시 강서구 염창동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 3일 20시,서울특별시 서초구 서초동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 3일 22시,서울특별시 동대문구 휘경동,중상사고,0,2,1,0,승용,상해없음,승합,중상
2019년 1월 3일 23시,서울특별시 종로구 종로5가,중상사고,0,1,0,0,원동기,중상,승용,상해없음
2019년 1월 3일 23시,서울특별시 도봉구 도봉동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 4일 01시,서울특별시 관악구 신림동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 4일 03시,서울특별시 도봉구 창동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 4일 06시,서울특별시 은평구 불광동,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 1월 4일 08시,서울특별시 종로구 궁정동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 4일 08시,서울특별시 강남구 논현동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
