,index,사고일시,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,가해운전자 차종,가해운전자 상해정도,피해운전자 차종,피해운전자 상해정도
5729,19757,2021년 3월 13일 21시,서울특별시 강동구 길동,중상사고,0,1,1,0,원동기,상해없음,이륜,중상
5730,19767,2021년 3월 14일 18시,서울특별시 강동구 명일동,중상사고,0,1,0,0,승합,상해없음,이륜,중상
5731,19768,2021년 3월 14일 18시,서울특별시 노원구 상계동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5732,19772,2021년 3월 14일 23시,서울특별시 금천구 독산동,중상사고,0,2,1,0,승용,상해없음,이륜,경상
5733,19773,2021년 3월 15일 03시,서울특별시 구로구 구로동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5734,19780,2021년 3월 15일 11시,서울특별시 서초구 서초동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5735,19785,2021년 3월 15일 16시,서울특별시 영등포구 영등포동2가,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5736,19786,2021년 3월 15일 17시,서울특별시 금천구 가산동,중상사고,0,1,0,0,화물,상해없음,이륜,중상
5737,19792,2021년 3월 15일 19시,서울특별시 강남구 역삼동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5738,19794,2021년 3월 15일 21시,서울특별시 관악구 신림동,중상사고,0,1,0,0,이륜,상해없음,이륜,중상
5739,19803,2021년 3월 16일 10시,서울특별시 성동구 행당동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5740,19806,2021년 3월 16일 12시,서울특별시 강남구 개포동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5741,19807,2021년 3월 16일 13시,서울특별시 구로구 구로동,중상사고,0,1,0,0,이륜,기타불명,이륜,중상
5742,19814,2021년 3월 17일 08시,서울특별시 강남구 역삼동,중상사고,0,1,2,0,이륜,중상,승용,경상
5743,19825,2021년 3월 17일 17시,서울특별시 강남구 논현동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5744,19829,2021년 3월 17일 19시,서울특별시 금천구 가산동,중상사고,0,1,1,0,승용,상해없음,이륜,중상
5745,19832,2021년 3월 17일 20시,서울특별시 서초구 방배동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5746,19836,2021년 3월 17일 23시,서울특별시 동대문구 청량리동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5747,19840,2021년 3월 18일 08시,서울특별시 중랑구 망우동,중상사고,0,1,0,0,승합,상해없음,이륜,중상
5748,19842,2021년 3월 18일 09시,서울특별시 동대문구 용두동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
5749,19845,2021년 3월 18일 12시,서울특별시 영등포구 신길동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5750,19846,2021년 3월 18일 13시,서울특별시 관악구 신림동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5751,19849,2021년 3월 18일 14시,서울특별시 영등포구 신길동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5752,19852,2021년 3월 18일 19시,서울특별시 관악구 신림동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5753,19854,2021년 3월 18일 20시,서울특별시 영등포구 당산동1가,중상사고,0,1,0,0,이륜,상해없음,승용,중상
5754,19862,2021년 3월 19일 08시,서울특별시 성북구 정릉동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5755,19869,2021년 3월 19일 12시,서울특별시 관악구 봉천동,중상사고,0,1,1,0,승용,경상,이륜,중상
5756,19870,2021년 3월 19일 13시,서울특별시 관악구 신림동,중상사고,0,1,1,0,이륜,중상,승용,경상
5757,19873,2021년 3월 19일 14시,서울특별시 동작구 상도동,중상사고,0,1,0,0,승합,상해없음,이륜,중상
5758,19877,2021년 3월 19일 20시,서울특별시 양천구 신정동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
