시,동,면적 (k㎡)
강남구,개포1동,1.27
강남구,개포2동,2.51
강남구,개포4동,1.49
강남구,일원본동,2.58
강남구,일원1동,0.92
강남구,일원2동,1.24
강남구,수서동,1.43
강남구,세곡동,6.36
강남구,압구정동,2.53
강남구,청담동,2.33
송파구,풍납1동,0.77
송파구,풍납2동,1.59
송파구,거여1동,0.51
송파구,거여2동,0.53
송파구,마천1동,0.58
송파구,마천2동,0.89
송파구,방이1동,0.5
송파구,방이2동,0.8
송파구,오륜동,3.17
송파구,오금동,1.65
송파구,송파1동,0.79
송파구,송파2동,0.53
송파구,석촌동,0.95
송파구,삼전동,0.95
송파구,가락본동,1.13
송파구,가락1동,1.34
송파구,가락2동,0.96
송파구,문정1동,0.56
송파구,문정2동,2.2
송파구,장지동,1.37
송파구,위례동,2.55
송파구,잠실본동,0.94
송파구,잠실2동,2.18
송파구,잠실3동,1.49
송파구,잠실4동,1.56
송파구,잠실6동,2.79
송파구,잠실7동,0.6
강동구,길동,2.17
강동구,강일동,2.26
강동구,명일1동,0.61
강동구,명일2동,0.97
강동구,고덕1동,1.73
강동구,고덕2동,2.01
강동구,암사1동,1.02
강동구,암사2동,1.18
강동구,암사3동,2.51
강동구,천호1동,0.71
강동구,천호2동,1.57
강동구,천호3동,0.79
강동구,성내1동,0.58
강동구,성내2동,0.67
강동구,성내3동,0.71
강동구,둔촌1동,0.92
강동구,둔촌2동,0.98
강동구,상일1동,2.65
강동구,상일2동,0.54
