,자치구,행정동,사망자수,중상자수,경상자수
356,강서구,등촌동,0,1,0
357,강서구,화곡동,0,1,0
358,중랑구,중화동,0,1,0
359,강남구,삼성동,0,1,0
360,금천구,시흥동,0,1,0
361,강남구,삼성동,0,1,0
362,중랑구,면목동,0,1,0
363,강북구,우이동,0,2,0
364,영등포구,대림동,0,1,0
365,구로구,개봉동,0,1,0
366,구로구,고척동,0,1,0
367,양천구,신월동,0,1,0
368,도봉구,창동,0,2,1
369,구로구,신도림동,0,1,0
370,용산구,서빙고동,0,2,0
371,동작구,사당동,0,1,0
372,강남구,논현동,0,1,0
373,용산구,보광동,0,1,1
374,종로구,와룡동,1,0,0
375,영등포구,신길동,0,1,0
376,중랑구,망우동,0,1,0
377,금천구,독산동,0,1,1
378,금천구,가산동,0,1,0
379,동대문구,회기동,0,1,0
380,송파구,잠실동,0,1,0
381,강남구,삼성동,0,1,0
382,광진구,화양동,0,1,0
383,성북구,안암동5가,0,1,0
384,구로구,천왕동,0,1,0
385,강북구,미아동,0,1,1
386,동대문구,회기동,0,2,0
387,중랑구,면목동,0,1,0
388,중랑구,면목동,0,1,0
389,도봉구,쌍문동,0,1,0
390,동대문구,전농동,0,1,0
391,강남구,삼성동,0,1,0
392,서초구,반포동,0,1,1
393,송파구,잠실동,0,2,1
394,종로구,종로6가,0,1,0
395,영등포구,영등포동1가,0,1,0
396,동대문구,전농동,0,1,0
397,마포구,성산동,0,1,0
398,성북구,정릉동,0,1,0
399,광진구,화양동,0,1,0
400,서초구,방배동,0,1,0
401,구로구,오류동,0,1,0
402,노원구,상계동,0,1,0
403,종로구,혜화동,0,1,0
404,서초구,반포동,0,1,0
405,강북구,번동,0,1,0
406,중랑구,면목동,0,1,0
407,강서구,화곡동,0,1,0
408,금천구,시흥동,0,1,0
409,송파구,삼전동,0,1,0
410,영등포구,문래동3가,0,1,0
411,성북구,안암동3가,0,1,0
412,도봉구,도봉동,0,1,1
413,중구,서소문동,0,1,0
414,노원구,공릉동,0,1,0
415,강남구,대치동,0,1,0
416,성북구,종암동,0,1,0
417,관악구,신림동,0,2,0
