행정구,행정동,행정동코드,생활인구
강동구,강일동,11740515,"51,629"
강동구,상일동,11740520,"39,338"
강동구,명일1동,11740530,"26,471"
강동구,명일2동,11740540,"15,906"
강동구,고덕1동,11740550,"24,378"
강동구,고덕2동,11740560,"20,635"
강동구,암사1동,11740570,"27,282"
강동구,암사2동,11740580,"15,146"
강동구,암사3동,11740590,"13,210"
강동구,천호1동,11740600,"29,749"
강동구,천호2동,11740610,"44,371"
강동구,천호3동,11740620,"27,989"
강동구,성내1동,11740640,"23,624"
강동구,성내2동,11740650,"24,565"
강동구,성내3동,11740660,"26,372"
강동구,길동,11740685,"56,112"
강동구,둔촌1동,11740690,"4,470"
강동구,둔촌2동,11740700,"27,077"
