구_x,행정동,1인가구,행정동코드,생활인구,도로면적,사망자수,중상자수,경상자수
은평구,신사1동,3009,11380631.0,23723.0,0.185472,0.0,0.0,0.0
은평구,신사2동,2314,11380632.0,12806.0,0.2208,0.0,0.0,0.0
은평구,증산동,1736,11380640.0,14971.0,0.178848,0.0,8.0,1.0
은평구,수색동,963,11380650.0,12325.0,0.284832,0.0,7.0,1.0
은평구,진관동,4742,11380690.0,62844.0,2.545824,4.0,20.0,0.0
은평구,불광2동,4589,11380530.0,21400.0,0.304704,0.0,0.0,0.0
은평구,응암3동,4431,11380600.0,23698.0,0.139104,0.0,0.0,0.0
은평구,역촌동,5473,11380625.0,42058.0,0.256128,0.0,46.0,3.0
서대문구,천연동,2388,11410520.0,15977.0,0.167325,2.0,14.0,3.0
서대문구,홍제1동,2736,11410620.0,22770.0,0.212175,1.0,23.0,6.0
서대문구,홍제3동,2027,11410640.0,15499.0,0.139725,0.0,0.0,0.0
서대문구,홍제2동,1443,11410655.0,10635.0,0.181125,0.0,0.0,0.0
서대문구,홍은1동,2538,11410660.0,14373.0,0.27255,2.0,27.0,3.0
서대문구,홍은2동,3769,11410685.0,23583.0,0.35535,0.0,0.0,0.0
서대문구,남가좌1동,942,11410690.0,6925.0,0.087975,0.0,15.0,1.0
서대문구,남가좌2동,4237,11410700.0,18211.0,0.132825,1.0,2.0,0.0
서대문구,북가좌1동,1172,11410710.0,14778.0,0.094875,0.0,35.0,5.0
서대문구,북가좌2동,4463,11410720.0,36300.0,0.1449,0.0,0.0,0.0
서대문구,충현동,3880,11410565.0,40110.0,0.1932,0.0,12.0,0.0
서대문구,북아현동,2261,11410555.0,37843.0,0.07935,0.0,11.0,1.0
서대문구,신촌동,9002,11410585.0,54462.0,0.453675,1.0,27.0,2.0
서대문구,연희동,9005,11410615.0,35821.0,0.526125,1.0,33.0,2.0
마포구,용강동,2388,11440590.0,31535.0,0.240324,0.0,2.0,0.0
마포구,대흥동,4027,11440600.0,22159.0,0.248907,0.0,18.0,2.0
마포구,염리동,1775,11440610.0,10856.0,0.125884,0.0,6.0,0.0
마포구,신수동,3184,11440630.0,17843.0,0.223158,2.0,12.0,2.0
마포구,서교동,8192,11440660.0,74251.0,0.472065,0.0,54.0,21.0
마포구,합정동,3699,11440680.0,23209.0,0.492092,0.0,7.0,0.0
마포구,망원1동,3829,11440690.0,20374.0,0.323293,0.0,15.0,3.0
마포구,망원2동,2398,11440700.0,16684.0,0.191687,0.0,2.0,0.0
마포구,연남동,4142,11440710.0,18810.0,0.183104,0.0,12.0,2.0
마포구,성산1동,3506,11440720.0,21778.0,0.22888,3.0,24.0,5.0
마포구,성산2동,6694,11440730.0,35582.0,0.592227,0.0,0.0,0.0
마포구,상암동,3741,11440740.0,47615.0,2.40324,2.0,19.0,4.0
마포구,도화동,2610,11440585.0,16878.0,0.177382,0.0,9.0,3.0
마포구,서강동,4380,11440655.0,26302.0,0.414845,0.0,0.0,0.0
마포구,공덕동,6338,11440565.0,39172.0,0.288961,1.0,21.0,2.0
마포구,아현동,2269,11440555.0,25447.0,0.217436,0.0,14.0,3.0
양천구,목1동,1189,11470510.0,47161.0,0.393108,1.0,55.0,6.0
양천구,목2동,3752,11470520.0,22630.0,0.287164,0.0,2.0,0.0
양천구,목3동,2963,11470530.0,17257.0,0.147764,0.0,3.0,0.0
양천구,목4동,2280,11470540.0,18170.0,0.158916,0.0,3.0,0.0
양천구,신월1동,3273,11470560.0,14793.0,0.18122,2.0,78.0,15.0
양천구,신월2동,1749,11470570.0,14165.0,0.170068,0.0,0.0,0.0
양천구,신월3동,2877,11470580.0,13417.0,0.242556,0.0,0.0,0.0
